"","ID","Short Title","Year"
"191","A13585","Temporis filia veritas.","1589"
"192","A13665","The new found vvorlde, or Antarctik","1568"
"193","A13781","A true and strange discourse of the","1603"
"194","A14029","The traueiler of Ierome Turler","1575"
"195","A14203","Nevves from America; or, A new and","1638"
"196","A14275","A tale of tvvo swannes.","1590"
"197","A14325","The baths of Bathe: or, A necessary","1628"
"198","A14328","Via recta ad vitam longam, or A pla","1620"
"199","A14397","Newes from Vienna the 5. day of Aug","1566"
"200","A14421","A iovrnall of all the proceedings o","1627"
"201","A14605","Certaine wholesome obseruations and","1615"
"202","A14712","The wandring Jew; or, The shoomaker","1641"
"203","A14803","A declaration of the state of the c","1622"
"204","A14850","The rare and most vvonderfull thing","1590"
"205","A14896","Novem. 24 Num. 7. The weekely newes","1624"
"206","A14925","A true and ample relation of all su","1622"
"207","A15050","Good nevves from Virginia.","1613"
"208","A15069","A discourse and discouery of Nevv-f","1620"
"209","A15072","A discourse containing a louing inu","1622"
"210","A15572","The last terrible tempestious winde","1613"
"211","A15589","A letetr [sic] vvritten by Captaine","1621"
"212","A15685","Nevv Englands prospect{middot}","1634"
"213","A16125","A godly consultation vnto the breth","1542"
"214","A16195","Astrolabium vranicum generale.","1596"
"215","A16495","An encouragement to colonies{middot","1624"
"216","A16507","The mapp and description of Nevv-En","1630"
"217","A16695","Here begynneth the lyfe of saynt Br","1521"
"218","A17074","Newes from the East-Indies; or, a v","1638"
"219","A17832","Britain, or A chorographicall descr","1637"
"220","A17848","Remaines of a greater worke, concer","1605"
"221","A17890","The conquest of the Grand Canaries","1599"
"222","A17891","A pleasant description of the fortu","1583"
"223","A17958","The survey of Cornvvall. Written by","1602"
"224","A18057","A shorte and briefe narration of th","1580"
"225","A18071","The preachers trauels.","1611"
"226","A18330","The valiant and most laudable fight","1591"
"227","A18449","A Relation of a sea-fight betweene","1622"
"228","A18468","A relation of the glorious triumphs","1625"
"229","A18475","A true discourse of all the royal p","1625"
"230","A18616","The strange and marueilous newes la","1577"
"231","A18686","The estate of Christians, liuing vn","1595"
"232","A18694","A true discourse vvherin is set dow","1593"
"233","A18769","The vvorthines of VVales","1587"
"234","A19038","[Cocke Lorelles bote.].","1518"
"235","A19054","Nevves out of East India","1624"
"236","A19265","A godlie sermon, preached on Newe y","1576"
"237","A19381","Mr Thomas Coriat to his friends in","1618"
"238","A19384","Thomas Coriate traueller for the En","1616"
"239","A19470","A true and almost incredible report","1612"
"240","A19644","Belgiaes troubles, and triumphs.","1625"
"241","A19674","A true relation of all the remarkab","1637"
"242","A19676","Militarie instructions for the cava","1632"
"243","A19729","A sermon preached at Plimmoth in Ne","1622"
"244","A19774","A suruey of the great dukes state o","1605"
"245","A19775","The vievv of Fraunce.","1604"
"246","A19936","A true relation of the travailes an","1614"
"247","A20033","Syr Degore.","1513"
"248","A20049","The history of trauayle in the VVes","1577"
"249","A20377","Profitable instructions","1633"
"250","A20662","A true report of a most famous vict","1600"
"251","A20784","The vvorld encompassed by Sir Franc","1628"
"252","A20847","Poly-Olbion by Michaell{middot} Dra","1612"
"253","A20849","[Poly-Olbion. Part 2] The second part, or a continuance of Poly-Olbion from the eighteenth song","1622"
"254","A20999","A true discourse of the discouerie","1609"
"255","A21083","A letter vvritten to the right vvor","1603"
"256","A21093","A courante of newes from the East I","1622"
"257","A21094","A true and large discourse of the v","1603"
"258","A21201","The copie of a letter sent in to Scotlande :$bof the arivall and landynge, and most noble marryage of ... Philippe, prynce of Spaine to the ... Princes Marye quene of England solemnisated [sic] in the citie of Winchester : and howe he was receyved ... at Windsore, and of his ... entries in ... London : whereunto is added a brefe ouerture or openyng of the legacion of the most reuerend father in God Lord Cardinall Poole ... for the reconcilement of the realme of Englande to the vnitie of the Catholyke churche : with the very copye also of the supplycaci&otilde; exhibited to their highnesses by the three estates assembled in the parlamente, wherin they representing the whole body of the realme ... haue submitted thes&cmbtilde;elues to the popes holynesse.","1555"
"259","A21219","The suruay or topographical descrip","1592"
"260","A21246","Speeches deliuered to Her Maiestie","1592"
"261","A21330","Of the newe la[n]des and of ye peop","1520"
"262","A21666","By the Quene. Where the auncient en","1564"
"263","A21711","By the Queene. A proclamation to represse all piracies and depredations vpon the seas","1569"
"264","A21741","By the Queene. Forasmuche as it is","1572"
"265","A21757","By the Queene. Whereas certayne obs","1573"
"266","A21771","By the Queene. Whereas of late yeer","1618"
"267","A21872","By the Queene. A proclamation to fo","1591"
"268","A21876","Articles concerning the Admirality","1591"
"269","A21923","By the Queene. The Queenes Maiestie","1596"
"270","A22026","By the King","1606"
"271","A22067","By the King","1611"
"272","A22107","By the King. A proclamation prohibi","1614"
"273","A22111","By the King. A proclamation, prohib","1615"
"274","A22146","By the King. A proclamation for res","1617"
"275","A22151","By the lords of His Maiesties priui","1618"
"276","A22176","A treatyse of the state and disposi","1550"
"277","A22227","By the King. A proclamation declari","1620"
"278","A22298","By the King. Whereas wee for the co","1623"
"279","A22342","By the King","1625"
"280","A22364","By the King","1625"
"281","A22396","By the King","1625"
"282","A22405","By the King","1626"
"283","A22436","By the King","1627"
"284","A22448","By the King","1627"
"285","A22536","By the King","1630"
"286","A22549","By the King","1632"
"287","A22581","By the King","1634"
"288","A22595","By the King","1635"
"289","A22603","By the King","1636"
"290","A22705","Articles of peace, entercourse, and","1605"
"291","A22706","Articles concluded at Paris the xxi","1606"
"292","A22749","Articles of peace, entercourse, and","1630"
"293","A22928","The naturall and morall historie of","1604"
"294","A23592","Tabula.","1502"
"295","A23821","An account of a voyage from Archang","1699"
"296","A23984","An Abstract of the procedure of Fra","1684"
"297","A24051","An Abstract or abbreviation of some","1681"
"298","A24464","An Account of Dundees rendezvouse,","1689"
"299","A24610","An account of Saint Sebastian in re","1700"
"300","A25194","Aloisia, or, The amours of Octavia","1681"
"301","A25198","A character of the province of Mary","1666"
"302","A25200","A sermon preached at sea, before th","1679"
"303","A25307","An Account of the joyning of Major-","1689"
"304","A25311","The Amours of the Sultana of Barbar","1689"
"305","A25336","An Account of the late action and d","1690"
"306","A25495","Answers for the African Company to","1696"
"307","A25521","An answer to a late tract, entitule","1697"
"308","A25581","An Answer to the case of the old Ea","1700"
"309","A25630","An Answer to two letters concerning","1676"
"310","A25912","Articles against the Lord Mandevill","1642"
"311","A25925","Articles of agreements made and con","1652"
"312","A25991","An Account of the state of the Fren","1689"
"313","A25996","Carolina, or, A description of the","1682"
"314","A26179","An account of the tryals of Captain","1694"
"315","A26257","An Account of what English men of war have been taken, or otherwise lost, during the present war :$bwith some observations upon a late printed paper concerning that matter.","1696"
"316","A26262","Travels into divers parts of Europe","1693"
"317","A26310","A new journal of Italy","1691"
"318","A26378","West Barbary, or, A short narrative","1671"
"319","A26414","A letter sent from Syrranam, to His","1664"
"320","A26631","An historical relation of the first","1675"
"321","A27375","The reviv'd fugitive","1690"
"322","A27515","The history of the late revolution","1676"
"323","A27606","Evangelical repentance unto salvati","1693"
"324","A27622","A review of what God hath been plea","1698"
"325","A27738","A true account of a letter sent fro","1683"
"326","A28304","A description of the province and b","1699"
"327","A28352","The discovery of Nevv Brittaine","1651"
"328","A28360","A small account given forth by one","1698"
"329","A28392","A Description of the island of Jama","1672"
"330","A28398","The present state of His Majesties","1687"
"331","A28496","Irelands naturall history","1657"
"332","A28784","A book of the continuation of forre","1657"
"333","A28785","A Book of the names of all parishes","1657"
"334","A28809","A briefe discovery or description o","1647"
"335","A29216","A journal of the embassy from their","1698"
"336","A29331","A narrative of the proceedings of a","1655"
"337","A29339","A breviate of the proceedings of Fr","1684"
"338","A29361","A new description of Paris","1687"
"339","A29431","A brief compendium of the birth, ed","1680"
"340","A29439","A brief description of the province","1666"
"341","A29477","A brief relation of the present sta","1664"
"342","A29602","A clear voice of truth sounded fort","1662"
"343","A29627","An historical account of Mr. Rogers","1694"
"344","A29631","Travels over England, Scotland and","1700"
"345","A29768","Amusements serious and comical, cal","1700"
"346","A29825","An account of several travels throu","1677"
"347","A29826","A brief account of some travels in","1685"
"348","A29924","A journey into Spain","1670"
"349","A29941","Camera regis, or, A short view of L","1676"
"350","A30001","An essay on poetry; written by the","1697"
"351","A30076","Virginia impartially examined, and","1649"
"352","A30142","Letters write [sic] to a friend","1700"
"353","A30215","A relation of a journey of the Righ","1671"
"354","A30320","Animadversions on the Reflections u","1688"
"355","A30463","Some letters, containing an account","1688"
"356","A30473","Three letters concerning the presen","1688"
"357","A30476","Dr. Burnet's travels, or Letters co","1687"
"358","A30685","The four epistles of A.G. Busbequiu","1694"
"359","A30860","The late travels of S. Giacomo Bara","1670"
"360","A30955","Parerga","1660"
"361","A31044","The painters voyage of Italy","1679"
"362","A31221","A short discoverie of the coasts an","1644"
"363","A31291","A catalogue of the damages for whic","1664"
"364","A31298","The New atlas, or, Travels and voya","1698"
"365","A31509","Certain propositions relating to th","1700"
"366","A31533","The history of the ever-renowned kn","1695"
"367","A31570","Angli{aelig} notitia, or The presen","1669"
"368","A31596","The present state of England","1683"
"369","A31599","The second part of the present stat","1671"
"370","A31676","Therm{aelig} rediviv{aelig}, the ci","1673"
"371","A31753","The travels of Sir John Chardin int","1686"
"372","A31919","His Maiesties gracious ansvver to t","1641"
"373","A32135","The Kings Maiesties speech to the L","1642"
"374","A32139","Caledonia, or, The pedlar turn'd me","1700"
"375","A32165","Articles of alliance and commerce","1672"
"376","A32167","Articles of peace {amp} alliance betwee","1667"
"377","A32172","Articles of peace {amp} commerce betwee","1677"
"378","A32174","Articles of peace {amp} commerce betwee","1682"
"379","A32178","Articles of peace between the Most","1677"
"380","A32195","The capitulations and articles of p","1663"
"381","A32381","By the King, a proclamation concern","1663"
"382","A32493","By the King, a proclamation for rec","1678"
"383","A32531","By the King.","1665"
"384","A32553","By the King. A proclamation for the","1665"
"385","A32649","By the King, a proclamation touchin","1664"
"386","A32650","By the King, a proclamation touchin","1675"
"387","A32658","By the King, a proclamation","1667"
"388","A32664","Several treaties of peace and comme","1685"
"389","A32673","A treaty marine between the Most Se","1674"
"390","A32676","Treatie of marine, between the Illu","1675"
"391","A32752","A relation of the late embassy of M","1687"
"392","A32776","A second edition of Camden's descri","1695"
"393","A33100","Letter from the Commission of the G","1699"
"394","A33200","The Civil wars of Bantam, or, An Im","1682"
"395","A33302","A description of the seaventeen pro","1672"
"396","A33311","A geographicall description of all","1657"
"397","A33345","A true and faithful account of the","1670"
"398","A33452","A brief relation of a vvonderful ac","1679"
"399","A33599","His Majesties propriety, and domini","1672"
"400","A33602","The history of Wales comprehending","1697"
"401","A33691","A reply to an ansvver from a friend","1692"
"402","A33988","Great Britain's coasting-pilot.","1693"
"403","A34008","The present state of Russia","1671"
"404","A34137","The common-wealths great ship commo","1653"
"405","A34143","Constitutions of the Company of Sco","1696"
"406","A34147","The representation of the council-g","1700"
"407","A34148","Scotland's right to Caledonia (form","1700"
"408","A34277","A Congratulatory poem","1682"
"409","A34363","The conspiracy of Aeneas {amp} Antenor","1682"
"410","A34374","A Continuation of news from that pa","1689"
"411","A34383","A Continuation of the state of New-","1676"
"412","A34454","A true description of the mighty ki","1663"
"413","A34614","Remarks of the government of severa","1688"
"414","A34622","The travellours guide and historian","1695"
"415","A34660","An abstract or the lawes of New Eng","1641"
"416","A34868","The apostolical history","1672"
"417","A35158","Justice perverted, and innocence {amp}","1695"
"418","A35197","Belgica caracteristica, or, The Dut","1665"
"419","A35212","Admirable curiosities, rarities, {amp}","1682"
"420","A35221","The English acquisitions in Guinea","1700"
"421","A35222","The English empire in America, or,","1685"
"422","A35229","Extraordinary adventures and discov","1683"
"423","A35242","A journey to Jerusalem, or, A relat","1672"
"424","A35254","A view of the English acquisitions","1686"
"425","A35310","The antient and present state of Mu","1698"
"426","A35332","Good news from Ireland","1690"
"427","A35530","The comical history of the states a","1687"
"428","A35623","The Case of many hundreds of poor E","1680"
"429","A35692","A brief description of New-York, fo","1670"
"430","A35757","A Description of Buda, in its ancie","1685"
"431","A35758","A description of Candia in its anci","1670"
"432","A35775","A Description of the seven United P","1673"
"433","A35776","Discription of Tredagh in Ireland","1689"
"434","A35860","A Dialogue between a director of th","1699"
"435","A35908","A Dialogue between two members of t","1600"
"436","A36049","A direction for the English travill","1643"
"437","A36100","A Discourse of the dukedom of Moden","1674"
"438","A36106","A new voyage round the world","1697"
"439","A36272","A sermon preached before the King,","1666"
"440","A36284","Don Samuel Crispe, or, The Pleasant","1660"
"441","A36373","Observations concerning the present","1699"
"442","A36730","Atlas Chinensis","1671"
"443","A36791","The antiquities of Warwickshire ill","1656"
"444","A36827","A new voyage to the Levant","1696"
"445","A36936","A new voyage to the East-Indies in","1696"
"446","A37094","The Dutch drawn to life","1664"
"447","A37317","F{aelig}ro{aelig} {amp} F{aelig}roa res","1676"
"448","A37432","Sir Francis Drake revived","1653"
"449","A37489","Delightful novels exemplifyed in ei","1686"
"450","A37731","An exact description of Ireland","1691"
"451","A37736","Flanders, or the Spanish Netherland","1691"
"452","A37757","A declaration of the Lords and Comm","1642"
"453","A37821","The humble petition of the Lords {amp}","1642"
"454","A37931","An ordinance of the Lords and Commo","1643"
"455","A37975","An ordinance of the Lords {amp} Commons","1643"
"456","A38195","An account of some transactions in","1693"
"457","A38421","England's remarques","1682"
"458","A38515","An Epistle to a member of Parliamen","1699"
"459","A38638","An essay towards a scheme or model","1691"
"460","A38741","Europ{aelig} modern{aelig} speculum","1666"
"461","A38791","A journey to England.","1700"
"462","A38850","An Exact account of the Duke of Sch","1689"
"463","A38920","An exact journal of the engagement","1692"
"464","A38921","An Exact journal of the seige of Ly","1691"
"465","A38922","An Exact journal of the siege of Na","1695"
"466","A38925","An Exact journal of the victorious","1695"
"467","A38926","An exact journal of the victorious","1691"
"468","A38952","An Exact relation of the glorious v","1689"
"469","A38957","An Exact relation of the most remar","1689"
"470","A38983","The Examinations and informations u","1695"
"471","A39068","The Experienced jocky, compleat hor","1684"
"472","A39094","An Extract of so much of the act of","1698"
"473","A39231","Nevv Englands first fruits","1643"
"474","A39438","At the court at Whitehall the 16th","1681"
"475","A39450","A collection of all the acts, memor","1679"
"476","A39488","By the Lords Justices of England, a","1696"
"477","A39489","By the Lords Justices, a proclamati","1696"
"478","A39547","Fair trade, besides the heavy dutie","1700"
"479","A39724","A relation of ten years in Europe,","1656"
"480","A39785","A short and impartial view of the m","1699"
"481","A39792","The history of Russia, or, The gove","1643"
"482","A40108","A Quakers sea-journal","1659"
"483","A40275","A testimony for all the masters of","1677"
"484","A40373","A defence of the Scots settlement a","1699"
"485","A40383","The Escurial, or, A description of","1671"
"486","A40385","Northern memoirs, calculated for th","1694"
"487","A40482","A relation of two several voyages m","1700"
"488","A40503","A relation of a voyage made in the","1698"
"489","A40522","A new account of East-India and Per","1698"
"490","A40540","A Full and exact relation of the fi","1695"
"491","A40549","A full and perfect account of the p","1687"
"492","A40561","A Full and true account of the bese","1689"
"493","A40567","A Full and true account of the land","1689"
"494","A40568","A Full and true account of the land","1689"
"495","A40579","A Full and true account of two famo","1690"
"496","A40581","A full and true relation of a blood","1689"
"497","A40594","A full and true relation of the glo","1687"
"498","A40597","A Full and true relation of the rem","1689"
"499","A40672","The history of the worthies of Engl","1662"
"500","A40681","A Pisgah-sight of Palestine and the","1650"
"501","A40763","A Faithful account of a great engag","1690"
"502","A40766","A Faithful account of the taking th","1691"
"503","A40823","A familiar discourse, between Georg","1672"
"504","A40833","The famous and delightful history o","1700"
"505","A40838","The famous and renowned history of","1689"
"506","A40841","The famous and renowned histor[y] o","1700"
"507","A40857","The famous tragedie of King Charles","1649"
"508","A40859","The Famous tragedie of the life and","1660"
"509","A41077","Batavia, or, The Hollander displaye","1672"
"510","A41079","A brief character of the Low-Countr","1652"
"511","A41087","A trip to Holland","1699"
"512","A41175","A just and modest vindication of th","1699"
"513","A41360","A description of the island and cit","1668"
"514","A41375","The Golden coast, or, A description","1665"
"515","A41409","Good news from Kent.","1642"
"516","A41410","Good news from London-Derry in Irel","1689"
"517","A41415","Good news from the English fleet","1690"
"518","A41427","The English-American, his travail b","1648"
"519","A41864","Great and good news from His Grace","1689"
"520","A41867","Great and joyful news for England","1690"
"521","A41906","A Great miracle at sea, or, A perfe","1645"
"522","A41935","Great news from the Polish camp","1684"
"523","A42086","A late voyage to Constantinople","1683"
"524","A42300","A discourse of Bathe, and the hot w","1676"
"525","A42314","A description of the new world, or,","1651"
"526","A42517","Observations on a journy to Naples","1691"
"527","A42530","Strange news from Plymouth, or, A w","1684"
"528","A42562","The church-history of Ethiopia","1696"
"529","A42564","The history of the church of Malaba","1694"
"530","A42631","A description of the present state","1678"
"531","A42641","Subsidium peregrinantibus, or, An a","1665"
"532","A42700","The new disorders of love.","1687"
"533","A42798","A new voyage to the East-Indies","1682"
"534","A42948","The man in the moone, or, A discour","1657"
"535","A42986","A Further account of New Jersey","1676"
"536","A43171","O-Brazile, or, The inchanted island","1675"
"537","A43178","The western wonder, or, O Brazeel,","1674"
"538","A43232","Reasons for setling [sic] admiralty","1690"
"539","A43326","A new discovery of a vast country i","1698"
"540","A43412","The infallible guide to travellers","1682"
"541","A43533","France painted to the life","1656"
"542","A43535","A full relation of two journeys, th","1656"
"543","A43553","A survey of the estate of France, a","1656"
"544","A43838","A relation of a discovery lately ma","1664"
"545","A43882","An Historical description of the gl","1686"
"546","A43902","The history of Nicerotis","1685"
"547","A43906","The history of Prince Erastus, son","1674"
"548","A43912","The history of Tarquin and Lucretia","1669"
"549","A43915","The history of the birth, travels,","1682"
"550","A43931","The History of the late war with th","1684"
"551","A44054","A Defence of the Scots abdicating D","1700"
"552","A44299","The honour of the taylors, or, The","1687"
"553","A44350","An account of several new inventions and improvements now necessary for England, :$bin a discourse by way of letter to the Earl of Marlborough, relating to building of our English shipping, planting of oaken timber in the forrests, apportioning of publick taxes, the conservacy of all our royal rivers, in particular that of the Thames, the surveys of the Thames, &amp;c. : Herewith is also published at large The proceedings relating to mill'd-lead-sheathing, and the excellency and cheapness of mill'd-Lead in preference to cast sheet-lead for all other purposes whatsoever. : Also A treatise of naval philosophy, /$cwritten by Sir Will. Petty. ; The whole is submitted to the consideration of our English patriots in Parliament assembled.","1691"
"554","A44634","The English monsieur","1679"
"555","A44716","Epistol{aelig} Ho-elian{aelig}","1650"
"556","A44724","Instructions for forreine travell","1642"
"557","A44731","Londinopolis, an historicall discou","1657"
"558","A44732","Londinopolis","1657"
"559","A45059","The Hvmble petition of the merchant","1643"
"560","A45314","Bishop Hall's sayings concerning tr","1674"
